reach_id,from_node,to_node
32,187,188
38,200,198
45,217,216
59,264,266
138,513,514
226,27,29
457,372,367
469,387,389
497,432,433
875,1027,1029
1047,1475,1473
1142,1653,1655
1401,1024,1026
1509,1215,1214
1541,1272,1273
1559,1312,1314
1779,1730,1731
2077,2055,2056
2161,2297,2300
2674,3727,3729
2776,1919,1921
2940,2296,2294
3002,2433,2432
3191,2999,2998
4068,4004,4008
4089,4126,4128
4232,5424,5426
4540,4360,4359
4690,4621,4623
4866,4991,4992
5218,4285,4282
5235,4343,4344
5700,5062,5064
5962,6102,6104
6059,5588,5590
6081,5646,5649
6225,5920,5921
6321,6066,6067
6841,5747,5748
6845,5754,5753
6852,5792,5791
6922,6092,6089
7025,7062,7063
7064,7175,7176
7076,7221,7222
7177,7433,7435
7441,6874,6875
7527,6963,6964
7531,6968,6967
7637,7104,7105
7812,7382,7384
7893,6743,6744
7896,6780,6781
7995,7638,7639
8169,7515,7517
